,word,construction,adj_class,polarity,cos_rett_macaw,cos_prag_macaw,cos_sem_macaw,cos_rett_gpt,cos_prag_gpt,cos_sem_gpt
0,tall,positive,relative,positive,0.862809719,0.885550226,0.789738872,0.716129456,0.802663437,0.795778052
1,tall,equative,relative,positive,0.691374161,0.753688037,0.717553046,0.687292757,0.780287823,0.75666072
2,tall,comparative,relative,positive,0.681877429,0.752245615,0.795979803,0.693915213,0.79049438,0.749834912
3,short,positive,relative,negative,0.772887177,0.768868311,0.798756421,0.705309185,0.827921734,0.835506456
4,short,equative,relative,negative,0.716403573,0.753099134,0.722976893,0.706826985,0.804567562,0.79188681
5,short,comparative,relative,negative,0.706791383,0.757130368,0.797156879,0.686132099,0.774636554,0.749655372
6,dark,positive,relative,positive,0.635916545,0.712194695,0.697216968,0.711757903,0.740338078,0.757942563
7,dark,equative,relative,positive,0.730362698,0.705847733,0.697670949,0.641454097,0.702198487,0.723152754
8,dark,comparative,relative,positive,0.663647563,0.663854917,0.604789925,0.658350385,0.716962033,0.720160947
9,light,positive,relative,negative,0.719097019,0.807773728,0.683031491,0.693384074,0.74373264,0.758352166
10,light,equative,relative,negative,0.674983531,0.689320087,0.70986088,0.627390927,0.69876855,0.710338973
11,light,comparative,relative,negative,0.628983981,0.651944558,0.598526431,0.650298692,0.696086125,0.705965127
12,expensive,positive,relative,positive,0.668281407,0.661860509,0.678871766,0.67767578,0.7420931,0.740240385
13,expensive,equative,relative,positive,0.715246914,0.695383178,0.735499585,0.654483601,0.715124224,0.667822598
14,expensive,comparative,relative,positive,0.655594464,0.71229479,0.720365043,0.639364329,0.719125488,0.687306816
15,inexpensive,positive,relative,negative,0.610781885,0.77135364,0.715397392,0.701856335,0.762195595,0.732371415
16,inexpensive,equative,relative,negative,0.759028846,0.747092093,0.796184263,0.694468337,0.695658792,0.688653262
17,inexpensive,comparative,relative,negative,0.673749892,0.673699924,0.713456698,0.638951896,0.691824185,0.703158441
18,fast,positive,relative,positive,0.760260378,0.765693616,0.723537525,0.732927976,0.787829936,0.777293713
19,fast,equative,relative,positive,0.610229017,0.673599106,0.690677564,0.684817858,0.746728197,0.749446863
20,fast,comparative,relative,positive,0.570272587,0.692351616,0.642367735,0.724748887,0.747299799,0.723833956
21,slow,positive,relative,negative,0.742575977,0.716707673,0.73904055,0.69884163,0.742736363,0.795723957
22,slow,equative,relative,negative,0.676306823,0.646542458,0.682461833,0.721949962,0.775587353,0.743406438
23,slow,comparative,relative,negative,0.618835281,0.724817842,0.685656044,0.713101458,0.719716248,0.738394397
24,hard,positive,relative,positive,0.682374116,0.771829861,0.734313894,0.723108122,0.751165769,0.737578707
25,hard,equative,relative,positive,0.664855776,0.73716351,0.773279857,0.7358866,0.737952765,0.711222443
26,hard,comparative,relative,positive,0.63594975,0.729543021,0.763194034,0.70478723,0.729733131,0.723913672
27,easy,positive,relative,negative,0.582251676,0.742813451,0.729509579,0.698894281,0.771549789,0.745186544
28,easy,equative,relative,negative,0.686751057,0.816735999,0.71310179,0.719515841,0.76501081,0.723105466
29,easy,comparative,relative,negative,0.674149389,0.684541078,0.714690948,0.718249156,0.712689332,0.700711992
30,heavy,positive,relative,positive,0.737993091,0.834351042,0.79515442,0.731392198,0.78174005,0.761900298
31,heavy,equative,relative,positive,0.7339118,0.750513783,0.765610651,0.679157432,0.752278328,0.735981442
32,heavy,comparative,relative,positive,0.720175632,0.780173993,0.771115791,0.71176953,0.732331549,0.73232578
33,light,positive,relative,negative,0.771856847,0.825510512,0.8192278,0.701698378,0.77013024,0.791084826
34,light,equative,relative,negative,0.745678443,0.757972655,0.741661765,0.66142244,0.730967817,0.73748012
35,light,comparative,relative,negative,0.698159263,0.781078122,0.714197933,0.680258187,0.73509027,0.746931446
36,strong,positive,relative,positive,0.762774047,0.81758635,0.800747288,0.709559765,0.786405228,0.747238531
37,strong,equative,relative,positive,0.700428381,0.684141406,0.756341822,0.754773091,0.716587316,0.669333755
38,strong,comparative,relative,positive,0.669457923,0.674023293,0.740775087,0.700260347,0.680593536,0.696620618
39,weak,positive,relative,negative,0.795572009,0.7510512,0.764628241,0.722787975,0.680412168,0.688163149
40,weak,equative,relative,negative,0.740045428,0.743359836,0.800536248,0.691330073,0.731262483,0.758168229
41,weak,comparative,relative,negative,0.748496983,0.730944397,0.741786341,0.704381378,0.697961395,0.707604074
42,wide,positive,relative,positive,0.807357186,0.820667575,0.803658529,0.718901837,0.785278715,0.766853245
43,wide,equative,relative,positive,0.764138737,0.749946539,0.771284191,0.703271648,0.734249628,0.729334527
44,wide,comparative,relative,positive,0.800609953,0.75614639,0.791246889,0.705336571,0.741978788,0.731658752
45,narrow,positive,relative,negative,0.768368879,0.762905748,0.808450589,0.716097033,0.768360193,0.794268748
46,narrow,equative,relative,negative,0.732161554,0.728573712,0.802214031,0.694321467,0.738359907,0.74337908
47,narrow,comparative,relative,negative,0.704679775,0.767101644,0.735413928,0.679460171,0.742247355,0.72832409
48,complete,positive,absolute,positive,0.722489637,0.815752107,0.789582653,0.738302775,0.791393033,0.840986181
49,complete,equative,absolute,positive,0.691798291,0.72908535,0.710007941,0.703094709,0.732133208,0.728665184
50,complete,comparative,absolute,positive,0.669905785,0.727141518,0.711101559,0.692951672,0.702158955,0.711461359
51,incomplete,positive,absolute,negative,0.794368478,0.803858976,0.807381132,0.741799838,0.838144704,0.822053254
52,incomplete,equative,absolute,negative,0.702246267,0.75136218,0.79727973,0.713481259,0.768494061,0.774474882
53,incomplete,comparative,absolute,negative,0.672853355,0.800830559,0.815958796,0.713649058,0.765570858,0.748275976
54,full,positive,absolute,positive,0.748582889,0.712378918,0.748281982,0.715632636,0.710655563,0.732353228
55,full,equative,absolute,positive,0.72816347,0.691532561,0.676955407,0.702950258,0.677607646,0.723630075
56,full,comparative,absolute,positive,0.688743935,0.724709299,0.698796441,0.667498727,0.725548336,0.695707225
57,empty,positive,absolute,negative,0.761637305,0.714908146,0.777983106,0.711449872,0.7464148,0.775107668
58,empty,equative,absolute,negative,0.779578941,0.749063088,0.706883602,0.690483442,0.749733626,0.745159166
59,empty,comparative,absolute,negative,0.691293041,0.747534487,0.711604988,0.657745008,0.696518775,0.660334519
60,opaque,positive,absolute,positive,0.758371862,0.835901016,0.78602078,0.737527366,0.79518627,0.810673028
61,opaque,equative,absolute,positive,0.811466796,0.816307271,0.843213063,0.692419143,0.779533183,0.787920633
62,opaque,comparative,absolute,positive,0.781175092,0.819862572,0.803060848,0.72613706,0.752215446,0.756562603
63,transparent,positive,absolute,negative,0.797575601,0.853215636,0.86467366,0.744211119,0.803200106,0.806193122
64,transparent,equative,absolute,negative,0.772945238,0.839112623,0.840064752,0.720485789,0.788233826,0.812473473
65,transparent,comparative,absolute,negative,0.815726598,0.787833982,0.810200871,0.733484256,0.782711675,0.778679087
66,open,positive,absolute,positive,0.723217353,0.743331398,0.799074542,0.662974036,0.72953394,0.698799997
67,open,equative,absolute,positive,0.663095867,0.773147916,0.778627724,0.695817135,0.704189553,0.695046151
68,open,comparative,absolute,positive,0.700787201,0.706955342,0.733828018,0.639329284,0.700565887,0.674482798
69,closed,positive,absolute,negative,0.773373189,0.753172889,0.763226457,0.694440742,0.708019888,0.723391927
70,closed,equative,absolute,negative,0.641746137,0.757476092,0.765151537,0.734300225,0.733211657,0.714394367
71,closed,comparative,absolute,negative,0.704221712,0.722169481,0.699343397,0.676276919,0.695816905,0.676303994
72,perfect,positive,absolute,positive,0.77074405,0.846122796,0.83178406,0.736013906,0.764742215,0.750440852
73,perfect,equative,absolute,positive,0.710770579,0.75838011,0.772213136,0.703214539,0.714316318,0.703954715
74,perfect,comparative,absolute,positive,0.721357221,0.727344798,0.733689345,0.669993784,0.707741481,0.695591365
75,imperfect,positive,absolute,negative,0.742423205,0.774059702,0.84067691,0.698299351,0.794914288,0.74385166
76,imperfect,equative,absolute,negative,0.727336272,0.756221272,0.760399674,0.721477356,0.722977961,0.744900633
77,imperfect,comparative,absolute,negative,0.74908146,0.787409417,0.800835324,0.687466401,0.716524675,0.744744825
78,visible,positive,absolute,positive,0.686785078,0.828332341,0.746199073,0.750586642,0.806400985,0.74582713
79,visible,equative,absolute,positive,0.715622935,0.756969997,0.708999694,0.68235911,0.75823516,0.739081011
80,visible,comparative,absolute,positive,0.736488333,0.707395588,0.737481117,0.688000962,0.757099801,0.737051391
81,invisible,positive,absolute,negative,0.711967633,0.839583565,0.817191434,0.739816486,0.770120027,0.77096471
82,invisible,equative,absolute,negative,0.664120526,0.712180593,0.713837023,0.727607023,0.740632051,0.747206131
83,invisible,comparative,absolute,negative,0.633489349,0.674632109,0.719744728,0.703969171,0.733161093,0.737661146
84,straight,positive,absolute,positive,0.745897295,0.77007602,0.815453167,0.715490147,0.769115107,0.787093209
85,straight,equative,absolute,positive,0.730038204,0.81256753,0.806798748,0.710300694,0.753161161,0.720786335
86,straight,comparative,absolute,positive,0.776404229,0.724836521,0.734591932,0.679744061,0.732934565,0.744234399
87,bent,positive,absolute,negative,0.736107331,0.776958314,0.773924724,0.727324259,0.783661279,0.751976082
88,bent,equative,absolute,negative,0.72678326,0.750773399,0.73488547,0.704964003,0.775925409,0.743801037
89,bent,comparative,absolute,negative,0.734073302,0.765777299,0.768221189,0.688035249,0.75297261,0.730713462
90,awake,positive,absolute,positive,0.76796803,0.833990542,0.820462985,0.682250606,0.786585446,0.787574434
91,awake,equative,absolute,positive,0.783849121,0.813620533,0.814796534,0.700693494,0.765564422,0.737284365
92,awake,comparative,absolute,positive,0.800821715,0.811200638,0.812190491,0.669390002,0.723075428,0.731391477
93,asleep,positive,absolute,negative,0.672218813,0.793596538,0.836853422,0.696825296,0.766938086,0.79798967
94,asleep,equative,absolute,negative,0.786177298,0.826492501,0.825045278,0.68581568,0.753373051,0.740833521
95,asleep,comparative,absolute,negative,0.804078243,0.814454593,0.833465306,0.673543548,0.736038977,0.72198239